ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,Complain,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Z_CostContact,Z_Revenue
17,1997,PhD,Widow,73020.0,1,2,2014-10-30,93,0,1175,444,352,111,274,553,5,0,0,0,0,0,1,2,8,10,6,45,2836
18,1961,PhD,Divorced,26644.63,2,0,2012-07-05,16,0,622,17,929,320,63,12,3,0,1,0,0,0,0,0,1,13,18,4,578
19,1988,Master,Single,162605.87,2,0,2015-12-14,67,0,1206,69,940,410,100,665,4,0,0,1,0,0,0,12,10,7,4,22,2654
20,1998,PhD,Together,189799.17,2,1,2018-03-23,70,0,1422,337,983,303,65,273,1,1,0,1,0,1,1,9,12,0,18,40,3245
21,1981,Basic,Single,19101.71,1,1,2018-12-25,61,0,71,115,1042,343,44,297,9,0,0,0,0,0,0,4,5,9,9,27,2457
22,1999,PhD,Divorced,191247.47,1,1,2018-09-04,40,0,1441,79,645,61,86,50,9,0,0,1,0,0,0,10,8,1,19,37,113
23,1954,2n Cycle,Together,106902.44,0,2,2015-10-23,94,0,1306,14,625,299,66,499,7,0,0,0,0,0,1,5,3,2,11,2,4010
24,2001,PhD,Widow,63415.31,1,2,2013-04-29,33,0,73,175,138,402,258,368,9,0,0,1,0,0,1,3,1,12,7,9,2862
25,2001,Graduation,Divorced,19988.1,1,0,2014-09-02,69,0,354,455,715,442,204,723,6,0,0,0,0,0,0,6,6,0,2,11,2871
26,1986,Basic,Widow,102621.73,1,0,2015-01-17,44,0,496,268,761,135,177,655,9,0,1,0,1,0,0,2,14,10,18,20,4077
27,2001,Graduation,Married,159930.53,2,1,2015-06-07,57,0,1351,118,254,54,279,356,5,1,1,0,0,0,0,6,8,2,10,43,151
28,1990,Graduation,Divorced,142881.86,1,0,2010-02-25,50,0,987,298,1108,107,16,2,6,0,0,0,0,0,1,13,5,9,7,39,3398
29,1994,2n Cycle,Married,14794.07,2,0,2011-12-21,33,0,579,187,675,302,295,253,0,1,1,0,0,0,1,0,10,11,12,14,3348
30,2003,Basic,Divorced,19215.86,0,0,2017-02-13,43,0,909,56,91,257,201,474,4,1,0,0,0,0,0,6,10,7,9,26,3144
31,1942,Basic,Divorced,83560.29,0,0,2015-09-11,14,0,1470,198,1092,252,171,505,6,0,0,0,0,0,0,0,13,3,17,38,2941
32,1990,Basic,Married,62581.65,2,0,2019-11-08,77,0,372,16,36,221,261,255,0,0,0,1,1,0,0,12,3,12,11,30,3185
33,1946,Basic,Together,50314.94,2,1,2011-07-28,69,0,361,433,139,477,193,609,1,0,0,0,0,0,0,10,0,12,6,36,1230
34,1960,Basic,Single,59795.88,2,1,2011-10-29,49,0,92,287,866,368,148,684,8,0,0,0,0,0,0,0,3,6,10,38,2936
35,1978,2n Cycle,Widow,161679.13,1,0,2010-10-11,31,0,1344,405,679,166,34,149,2,0,0,0,0,0,0,1,2,6,9,35,2778
36,1957,PhD,Divorced,186199.47,0,1,2014-10-11,66,0,323,54,136,428,28,487,5,1,0,1,0,0,0,1,6,10,2,6,2742
37,1943,Graduation,Widow,83995.03,2,2,2019-10-06,2,0,383,498,189,159,262,278,6,0,0,1,0,0,0,3,10,4,6,3,448
38,1999,Basic,Married,181691.65,1,0,2016-02-13,85,0,574,440,341,448,220,58,8,0,0,0,0,0,0,12,12,11,3,1,454
39,1953,PhD,Widow,67691.66,0,2,2011-05-13,85,0,735,268,1028,165,52,445,4,0,0,0,0,0,0,0,10,0,7,18,2923
40,1948,PhD,Married,97905.21,1,1,2014-01-05,73,0,736,302,971,204,278,112,3,0,0,0,1,1,0,3,9,9,7,23,3318
41,1992,Graduation,Widow,49075.65,0,1,2010-05-10,50,0,345,86,661,266,75,754,1,0,1,0,0,0,0,1,4,3,5,32,2744
42,1941,2n Cycle,Single,129892.83,1,2,2011-10-01,66,0,1126,317,242,137,175,568,2,0,0,0,0,1,0,3,11,6,12,29,2132
43,1999,Master,Single,195901.32,0,1,2019-03-18,75,0,1238,437,414,367,9,488,4,0,0,1,0,0,1,3,2,13,11,23,2517
44,1983,Master,Single,122681.15,0,0,2015-12-02,92,0,1215,28,706,442,116,406,1,0,1,0,0,0,0,8,13,4,2,36,4522
45,1947,PhD,Single,74773.75,1,2,2018-12-15,47,0,718,21,342,345,279,366,3,1,0,0,0,1,0,8,1,1,5,6,4365
46,1986,Graduation,Single,131324.4,2,0,2015-08-23,16,0,780,320,681,247,217,59,0,0,0,0,0,0,0,0,12,13,18,17,1971
47,1974,Master,Single,28969.53,0,2,2019-02-25,6,0,1019,284,652,54,174,328,3,1,0,0,0,0,1,4,1,7,10,18,4009
48,1975,PhD,Married,178288.52,2,1,2018-12-31,12,0,1217,47,145,403,233,727,6,0,0,0,0,0,0,6,4,1,3,31,1590
49,1989,2n Cycle,Divorced,103101.37,1,2,2016-10-27,65,0,1403,4,322,208,251,468,2,0,0,0,0,0,0,3,12,10,14,6,2439
50,1943,Master,Widow,92623.2,2,2,2019-10-24,3,0,1426,249,121,16,294,744,9,0,0,0,0,0,0,11,12,7,1,34,4898
51,1941,PhD,Single,119243.63,2,0,2016-10-30,9,0,663,162,310,67,5,566,7,0,0,0,0,1,0,4,7,12,14,44,2513
52,1945,PhD,Married,126832.85,2,1,2012-09-12,87,0,599,201,600,132,20,719,5,0,0,0,1,1,1,1,7,10,16,44,3418
53,1993,Basic,Married,18996.28,2,0,2012-09-19,16,0,10,466,474,187,72,62,5,0,1,0,0,0,1,2,13,1,1,27,3035
54,1943,2n Cycle,Married,138110.36,2,1,2017-07-25,51,0,186,100,569,406,35,183,0,0,0,1,0,0,0,6,11,10,6,36,729
55,1993,Basic,Divorced,52176.68,0,0,2015-10-23,5,0,725,70,574,429,232,310,4,0,1,0,0,0,0,9,4,4,15,48,797
56,2002,Graduation,Widow,144220.76,0,2,2017-01-28,82,0,1038,429,346,307,215,792,2,0,1,0,0,1,0,12,12,3,4,42,2903
57,1957,Basic,Divorced,165394.28,0,0,2010-04-11,68,0,777,162,819,137,205,537,9,0,0,0,0,0,0,14,1,0,15,25,1371
58,1983,Basic,Together,161771.91,1,1,2016-02-02,95,0,1320,172,381,173,43,176,0,0,0,0,0,0,1,6,12,13,18,10,3798
59,1973,Master,Married,112737.69,2,1,2011-03-03,73,0,410,140,71,411,90,574,7,1,0,0,1,0,1,3,3,11,1,39,4200
60,2001,PhD,Together,106433.13,0,2,2018-09-24,8,0,955,137,520,96,92,428,6,0,1,0,1,0,0,11,6,7,14,46,4839
61,1953,2n Cycle,Single,32860.81,1,1,2018-11-12,90,0,584,65,932,170,82,72,6,0,0,0,0,0,0,0,13,9,3,39,583
62,1987,Basic,Single,156192.5,0,0,2010-02-10,76,0,1075,197,1117,153,281,166,9,1,0,0,0,1,0,0,5,11,1,12,1868
63,1954,2n Cycle,Divorced,57924.83,0,2,2011-03-05,82,0,1051,327,338,182,20,224,9,0,0,0,0,0,0,3,9,2,9,11,4250
64,2001,Basic,Widow,101855.61,2,1,2010-12-10,20,0,576,227,663,241,227,576,9,1,0,1,0,1,0,3,6,12,4,49,2391
65,1979,Graduation,Together,60433.45,1,1,2019-07-28,23,0,1040,280,39,303,129,580,3,0,1,0,0,0,0,5,4,3,17,43,2472
66,1992,Basic,Widow,31096.53,2,0,2011-01-01,3,0,1374,171,573,284,174,8,5,1,0,1,0,0,0,6,1,3,3,3,4595
67,1963,Master,Divorced,127763.75,2,0,2018-09-27,23,0,1451,315,965,26,107,235,8,0,1,0,0,0,0,8,7,4,0,22,1518
68,1965,PhD,Single,15594.75,0,2,2011-09-01,58,0,1252,430,580,401,282,709,2,1,0,0,0,0,0,8,13,2,17,4,4957
69,1999,Graduation,Widow,150985.82,2,1,2017-05-28,98,0,988,39,169,359,70,684,8,0,0,0,0,1,0,9,11,8,19,8,4535
70,1980,Basic,Widow,66929.43,1,0,2011-12-29,2,0,1233,6,700,59,49,793,3,0,1,0,0,0,0,11,1,3,5,14,1285
71,1968,2n Cycle,Single,5026.27,2,2,2016-03-26,67,0,1454,173,510,201,94,27,4,0,0,0,0,0,0,14,11,13,19,20,2764
72,1954,Graduation,Together,104670.18,2,1,2012-04-04,39,0,1317,150,583,249,278,645,6,0,1,0,0,0,1,11,7,9,19,24,1758
73,1984,Graduation,Single,14136.12,2,1,2018-10-07,47,0,742,210,983,361,131,26,5,0,0,0,0,0,0,4,14,14,13,14,1195
74,2004,Basic,Widow,58853.06,0,2,2013-10-07,53,0,1127,301,458,68,275,549,9,0,0,0,0,1,1,9,6,10,9,28,1525
75,1948,Graduation,Together,142860.42,1,2,2012-06-07,34,0,203,85,528,457,12,195,7,1,0,1,0,0,1,10,2,10,17,16,3973
76,1940,2n Cycle,Together,17224.48,0,0,2015-08-06,94,0,1076,396,340,369,2,202,7,0,1,0,0,0,0,2,12,3,8,32,2971
77,1947,Graduation,Single,168671.01,0,1,2013-09-03,55,0,973,252,56,20,223,84,7,1,1,0,0,0,0,2,3,5,11,47,1905
78,2002,2n Cycle,Widow,5744.88,0,1,2018-04-20,88,0,939,20,217,151,174,29,2,0,0,0,0,0,1,14,12,14,9,12,3274
79,1950,Basic,Divorced,53130.65,0,1,2017-11-23,39,0,1398,256,618,101,89,465,9,1,0,1,0,0,0,5,6,7,18,16,4014
80,1947,PhD,Widow,149476.29,0,2,2019-05-02,76,0,1077,378,815,386,240,98,5,1,0,0,0,0,1,0,3,12,5,19,3429
81,1974,Graduation,Married,66672.68,1,0,2013-07-20,67,0,1299,402,730,487,34,189,6,0,0,1,0,0,0,6,8,6,13,5,4988
82,1974,PhD,Divorced,24869.02,2,1,2010-04-27,45,0,1358,380,463,94,13,11,8,1,0,0,1,0,0,2,6,3,7,12,1654
83,1972,2n Cycle,Together,75245.61,0,2,2017-11-05,77,0,1054,443,246,445,194,602,9,0,0,0,0,1,0,4,0,3,13,29,3329
84,1944,Graduation,Divorced,57726.69,0,1,2016-08-12,12,0,1158,32,729,360,212,29,9,0,1,0,1,0,0,6,0,4,10,5,601
85,1980,Master,Together,169328.82,1,0,2013-01-22,26,0,1081,259,372,228,2,724,3,0,0,0,0,0,1,6,14,9,15,42,2054
86,1967,PhD,Together,66102.84,1,1,2010-06-17,5,0,104,233,416,124,178,37,4,0,0,1,0,1,0,8,3,4,19,17,1886
87,1946,Graduation,Divorced,158841.83,2,0,2018-03-21,16,0,1289,2,1054,257,39,571,7,0,0,0,0,0,0,0,13,11,5,47,1174
88,1951,PhD,Together,178915.07,1,0,2014-10-05,35,1,252,346,367,321,163,293,0,0,0,1,0,1,0,2,13,0,14,8,1432
89,1973,Graduation,Together,89594.4,2,1,2013-09-26,98,0,294,307,558,486,234,359,5,0,1,0,0,1,0,8,12,12,14,40,1820
90,1972,Basic,Married,182438.91,0,1,2017-06-01,80,0,667,488,107,368,256,654,3,0,0,0,0,0,0,7,8,7,13,40,3913
91,1987,PhD,Widow,78577.02,0,0,2011-11-26,1,0,1181,226,583,425,115,179,4,0,1,0,0,0,0,1,12,9,11,30,3450
92,1962,Master,Widow,192995.29,2,2,2012-07-13,76,0,548,283,838,235,51,796,4,1,1,0,0,0,0,7,3,12,1,10,84
93,2001,Master,Married,22411.46,1,0,2010-06-01,51,0,630,69,417,161,141,111,1,1,0,0,0,0,0,7,12,4,7,20,2254
94,1976,2n Cycle,Divorced,138968.76,2,1,2011-08-09,65,0,1090,453,820,41,85,741,7,0,0,0,0,0,0,1,4,2,18,45,3394
95,1983,Graduation,Single,101293.74,1,1,2012-07-01,51,1,298,438,682,275,45,443,1,0,0,0,1,0,0,7,0,2,13,16,3064
96,1974,PhD,Single,80591.52,0,2,2016-05-10,91,0,1486,312,1139,352,237,20,3,0,0,0,0,0,1,2,14,3,4,41,4541
97,2004,2n Cycle,Single,128378.82,1,0,2014-04-27,42,0,100,363,255,67,9,144,4,0,0,0,0,0,0,6,13,11,8,16,4352
98,1986,PhD,Married,142252.13,2,0,2011-05-11,89,0,1079,470,1104,172,151,498,0,0,0,0,0,0,0,12,1,6,12,42,1830
99,1942,Graduation,Married,5850.84,2,0,2015-11-19,21,0,331,253,779,491,60,145,5,0,0,0,0,1,0,8,10,4,8,3,1678
100,1940,Master,Together,37555.85,0,1,2011-07-11,54,0,835,480,1151,330,17,440,1,0,0,0,0,0,0,3,3,0,13,23,1379
101,1944,Basic,Single,144043.98,1,0,2013-01-10,66,0,392,143,837,124,85,420,4,0,0,0,1,0,0,14,11,13,4,22,1609
102,1953,Master,Divorced,134945.16,1,2,2014-04-02,98,0,873,23,914,169,136,315,5,0,0,1,0,1,0,10,3,11,1,28,854
103,1966,2n Cycle,Divorced,193379.26,1,1,2015-10-22,59,0,380,452,234,46,229,165,7,0,0,0,1,0,0,5,10,12,6,46,2559
104,1948,Basic,Single,153402.37,0,1,2018-06-13,57,1,91,424,552,260,127,651,8,1,0,0,0,0,0,8,9,4,15,45,4397
105,1954,2n Cycle,Single,190400.68,1,0,2019-08-06,11,0,446,233,180,216,103,202,5,0,0,0,0,0,0,10,5,13,10,36,1340
106,1981,Graduation,Single,141995.4,2,2,2010-06-06,87,0,108,332,156,304,185,495,4,0,0,0,0,0,0,10,12,4,10,4,4354
107,1990,Basic,Married,63120.18,1,1,2012-01-05,68,0,316,174,570,123,177,755,3,1,0,0,0,0,0,4,5,5,11,38,2636
108,2002,2n Cycle,Married,25546.16,0,1,2015-12-20,83,0,1191,331,856,292,5,624,1,0,0,0,1,0,1,11,7,13,12,24,4980
109,1991,Graduation,Married,157455.65,1,0,2019-05-03,38,0,1458,324,1047,161,35,467,1,0,0,0,0,0,0,0,11,6,7,19,2600
110,1943,Master,Widow,130609.1,1,0,2018-05-25,12,0,441,356,947,200,280,712,6,0,0,0,0,0,0,2,12,4,15,11,1005
111,1962,Graduation,Divorced,14396.27,2,2,2013-11-28,40,0,217,158,591,453,299,384,4,0,0,0,0,1,0,10,8,14,0,40,4659
112,1954,PhD,Divorced,75209.84,1,0,2019-06-10,56,0,1245,347,133,401,13,313,6,0,1,0,0,0,0,14,13,12,12,46,629
113,1982,Graduation,Together,191575.96,2,2,2011-07-13,52,0,672,347,420,461,236,770,0,0,0,0,0,1,0,8,0,10,10,40,1987
114,1968,Graduation,Married,102578.22,2,1,2015-11-25,11,0,277,285,212,274,284,254,0,0,0,0,0,0,0,2,0,13,3,46,2047
115,1975,PhD,Widow,89382.18,0,2,2016-05-01,12,0,1008,17,899,205,49,22,4,0,0,0,0,0,0,10,14,1,3,39,1715
116,1952,2n Cycle,Widow,94251.42,2,2,2018-12-21,73,0,568,43,481,39,260,757,1,0,0,0,0,1,0,10,5,13,14,18,2180
117,1971,2n Cycle,Divorced,45732.13,2,2,2018-08-17,96,0,1009,154,347,272,109,338,7,1,0,0,0,0,1,9,3,1,2,12,3790
118,1998,Graduation,Married,76897.9,0,1,2010-06-04,56,0,874,354,165,187,196,492,2,0,1,1,0,0,0,1,10,12,18,14,2550
119,1967,PhD,Together,77113.58,2,0,2018-04-24,39,0,465,409,936,354,251,510,0,0,0,0,0,0,0,3,3,3,1,47,1692
120,1981,PhD,Married,15209.23,0,1,2012-09-23,79,0,838,376,347,92,87,365,1,0,1,0,1,0,0,4,0,0,5,18,4762
121,1984,Master,Single,154675.69,1,0,2016-04-13,44,0,753,230,848,41,25,371,9,0,0,0,0,0,0,6,8,6,7,44,1547
122,2001,2n Cycle,Married,86218.36,0,2,2011-06-15,34,0,837,496,397,464,261,598,9,0,1,0,0,0,0,6,11,12,16,42,4652
123,1996,Basic,Single,165325.08,2,2,2017-12-15,2,0,29,370,582,378,143,218,6,0,0,0,1,0,0,8,10,0,4,12,3254
124,1945,2n Cycle,Single,170817.86,0,2,2015-05-26,4,0,358,315,725,106,59,474,5,0,0,0,0,0,0,12,2,2,1,40,671
125,1967,2n Cycle,Together,46338.84,2,2,2017-01-29,89,0,1311,401,307,327,267,422,7,0,0,0,0,0,0,7,14,9,11,27,3194
126,1967,Master,Divorced,133183.93,1,2,2011-12-30,10,0,85,224,990,64,74,355,6,0,0,0,0,0,0,12,4,6,4,6,2001
127,1983,Basic,Married,97094.95,0,0,2013-03-23,70,0,1257,216,797,364,2,459,9,0,0,0,0,1,1,14,9,10,9,24,1509
128,1969,Master,Single,176630.56,1,0,2010-06-03,55,0,746,55,718,308,62,502,7,0,0,0,0,0,0,1,0,11,8,33,342
129,2001,Basic,Married,47069.43,2,2,2010-04-02,9,0,312,30,465,483,235,26,2,0,0,1,0,0,0,11,7,11,19,45,704
130,2001,Graduation,Divorced,137173.57,2,1,2019-08-06,33,0,364,356,98,134,228,222,5,1,0,0,0,0,0,7,2,5,7,16,3034
131,1940,Basic,Divorced,123511.66,1,1,2016-07-13,66,0,904,58,157,493,274,689,6,0,0,1,0,0,0,7,13,14,0,12,3893
132,1966,Master,Widow,62583.79,0,2,2014-02-12,71,0,1292,379,609,388,17,147,9,0,0,0,0,0,1,4,14,14,5,31,2854
133,2001,2n Cycle,Divorced,31637.18,0,0,2014-09-13,30,0,697,385,553,23,79,423,0,0,1,0,0,0,0,14,0,6,10,37,2764
134,1942,Basic,Together,132069.75,2,1,2018-10-08,74,0,130,352,650,27,214,738,0,1,0,0,0,0,0,12,9,4,2,13,1671
135,1966,Basic,Single,149026.5,1,1,2016-11-02,70,0,802,422,919,61,170,350,6,0,0,1,0,0,0,2,5,7,14,8,4064
136,1948,PhD,Widow,66547.33,1,1,2015-07-10,65,0,788,444,226,490,254,185,2,0,0,1,0,0,0,8,0,5,10,38,3303
137,2001,2n Cycle,Together,130742.36,0,2,2017-10-28,69,0,350,234,422,272,125,414,2,1,0,0,0,0,1,11,14,11,4,3,2896
138,1976,Graduation,Married,82050.53,0,1,2012-02-26,40,0,179,106,1095,228,254,428,4,1,1,0,0,0,0,6,14,3,15,20,4930
139,1990,Master,Single,144075.34,0,1,2010-09-30,62,1,1186,190,242,19,71,40,5,0,0,0,1,0,1,0,2,13,6,4,4912
140,1983,Graduation,Divorced,43846.98,1,1,2015-07-21,31,0,1119,479,529,2,37,392,1,0,0,0,1,0,0,7,4,10,5,44,3555
141,1963,2n Cycle,Single,178591.93,0,1,2017-03-20,19,0,773,17,1068,420,203,702,2,0,1,0,0,0,0,9,3,0,8,45,568
142,1998,Basic,Married,61044.87,0,0,2010-06-26,56,0,509,400,370,217,171,78,5,0,0,0,0,1,0,12,6,1,6,2,2735
143,1971,Basic,Widow,76718.27,2,2,2017-11-18,97,0,364,225,651,398,222,716,2,1,0,1,0,1,0,4,5,11,2,36,77
144,1991,2n Cycle,Widow,16327.93,0,2,2011-10-05,49,0,980,166,688,306,216,789,4,0,1,0,1,1,0,5,11,5,10,23,315
145,2001,Basic,Widow,26744.88,0,0,2015-03-14,79,1,352,70,733,431,244,783,8,1,0,0,0,0,0,8,2,3,11,45,1356
146,1997,Basic,Divorced,105593.07,1,0,2018-07-18,24,0,799,361,91,135,190,543,2,0,0,0,0,0,0,9,10,2,10,19,4103
147,1991,Basic,Together,57180.57,1,2,2011-07-21,11,0,1459,53,1045,396,297,449,5,0,0,0,0,0,0,14,7,6,1,40,3504
148,1951,Master,Together,167918.64,2,1,2011-10-28,70,0,1106,244,171,431,181,473,4,0,0,0,0,0,0,13,7,6,0,8,860
149,1978,Master,Single,7865.21,0,1,2019-05-20,38,0,1248,482,1100,2,204,141,4,0,1,0,0,0,1,7,13,1,1,16,4726
150,1941,PhD,Divorced,78923.34,2,2,2013-08-24,16,0,411,349,178,192,198,250,5,0,0,0,0,0,0,13,1,7,13,43,3440
151,1942,Graduation,Widow,70782.38,1,1,2017-12-25,44,0,734,75,237,72,164,293,5,0,0,0,0,0,0,10,6,14,12,18,660
152,1995,2n Cycle,Widow,8768.89,2,0,2014-12-04,10,0,980,34,1158,414,241,609,0,0,0,1,0,0,0,13,13,14,4,36,4338
153,1998,2n Cycle,Married,29251.84,1,1,2012-12-05,69,0,117,266,876,360,129,135,8,0,0,0,0,1,1,13,0,10,1,24,2324
154,1941,2n Cycle,Married,85660.32,2,1,2016-06-07,22,0,481,316,901,117,226,483,4,0,0,0,0,0,0,2,1,0,18,1,4596
155,1941,PhD,Widow,101108.59,2,1,2017-12-25,90,0,191,299,279,153,121,788,0,0,0,0,0,0,0,12,7,10,16,1,252
156,1993,Master,Widow,83836.5,0,2,2018-02-07,69,0,590,120,1042,208,43,311,7,0,0,0,0,0,0,4,11,9,10,46,451
157,1940,PhD,Divorced,108532.85,2,0,2011-02-12,37,0,589,323,739,439,195,554,6,0,1,0,0,1,0,3,0,6,15,36,2077
158,1958,2n Cycle,Together,121050.68,0,1,2013-04-27,1,0,658,24,370,33,203,631,6,0,0,0,0,0,0,13,1,9,19,11,3900
159,1941,Graduation,Married,6935.15,0,2,2017-11-09,85,0,106,431,1135,136,256,731,4,0,0,0,0,1,1,0,11,11,17,18,939
160,1992,Basic,Together,95498.56,0,1,2015-01-28,83,0,381,159,869,317,16,45,0,0,0,1,0,0,0,4,0,0,19,16,228
161,1983,Master,Divorced,192882.35,0,0,2013-02-26,88,0,782,83,1018,119,271,235,8,0,0,0,0,0,0,9,4,12,7,17,2029
162,1971,Master,Widow,106211.29,2,1,2017-02-21,78,0,389,113,220,114,8,47,8,0,0,0,0,0,1,6,6,11,1,24,2560
163,1971,PhD,Together,137120.74,1,0,2019-11-18,92,0,243,222,919,12,248,197,7,0,0,1,0,0,0,0,5,14,16,34,2932
164,1994,Master,Widow,65813.45,1,1,2019-02-20,71,0,584,387,303,68,200,83,4,0,1,0,0,1,1,3,5,13,10,4,4034
165,1995,2n Cycle,Widow,155928.32,1,0,2013-02-15,36,0,868,165,437,424,58,542,2,0,1,0,0,1,1,5,5,2,13,35,2094
166,1956,2n Cycle,Single,155719.69,2,1,2016-11-16,48,0,467,190,1193,332,139,160,7,0,0,0,0,0,0,10,7,2,15,15,3033
167,1977,PhD,Together,106652.73,0,0,2010-05-24,51,0,865,174,374,256,118,427,0,1,0,1,0,0,0,11,4,9,14,2,400
168,1963,2n Cycle,Together,195322.7,1,1,2016-10-25,32,0,933,0,380,88,40,70,2,0,0,0,0,0,0,8,14,13,14,31,4332
169,1950,Graduation,Widow,29482.29,2,1,2018-12-16,21,0,1233,386,985,46,266,519,6,0,0,1,0,1,0,10,9,1,2,9,3468
170,1955,PhD,Divorced,8304.79,0,2,2018-11-03,4,0,603,228,13,259,7,51,3,0,0,0,0,0,0,7,6,13,6,10,3880
171,1998,Graduation,Single,155180.85,1,2,2011-05-02,17,0,1014,85,742,227,182,44,6,0,0,0,0,0,0,1,2,9,11,25,2017
172,1942,Basic,Widow,162395.33,0,0,2012-05-09,37,0,1096,61,668,446,133,292,4,1,0,0,0,0,0,10,8,12,2,5,4454
173,1959,Graduation,Married,28440.41,1,1,2018-10-11,36,1,1332,319,499,179,180,464,5,0,0,0,0,0,0,2,9,4,18,14,2274
174,1998,Basic,Married,56788.65,1,0,2015-04-20,93,0,859,400,564,9,71,549,6,0,0,0,1,0,0,9,2,3,9,42,4572
175,1975,Basic,Single,8422.71,1,2,2010-05-28,94,0,1209,381,529,283,112,379,9,0,0,0,1,0,0,12,13,12,7,48,2837
176,1958,Graduation,Divorced,62195.18,0,0,2013-09-21,63,0,1276,205,491,376,106,742,6,0,0,0,0,0,0,4,13,5,15,38,4676
177,1958,PhD,Widow,155762.67,2,0,2018-08-09,9,0,12,104,754,125,289,477,6,0,1,0,0,0,1,10,5,1,15,40,4393
178,1959,2n Cycle,Together,106002.3,0,2,2019-01-18,78,0,298,317,299,133,116,261,6,0,1,0,0,0,0,6,2,13,11,2,4361
179,1991,2n Cycle,Single,72878.64,1,1,2013-09-19,41,0,1099,290,814,154,119,579,6,0,0,0,0,0,0,2,0,3,4,18,4858
180,1972,Basic,Divorced,77489.16,0,0,2017-10-29,47,0,1074,249,546,247,146,178,2,0,0,0,0,0,0,11,0,11,19,29,487
181,1979,Basic,Together,5263.96,2,2,2017-06-06,43,1,786,12,726,139,209,356,2,0,0,0,0,0,0,6,2,6,5,20,2408
182,1978,PhD,Married,63461.1,0,1,2010-03-31,81,0,148,162,730,317,295,418,6,0,0,0,1,0,0,4,3,0,5,8,3904
183,1940,Master,Married,131059.45,2,2,2013-09-19,86,0,121,42,827,435,102,697,1,0,0,0,0,1,1,9,13,12,7,37,432
184,1950,Graduation,Together,194967.92,2,0,2010-07-18,96,0,1234,385,601,175,123,200,1,1,0,0,0,0,0,5,1,10,16,49,4266
185,1996,Basic,Single,170176.86,0,1,2018-11-07,15,0,1303,439,1031,322,244,12,2,0,0,0,0,1,0,5,8,2,11,48,456
186,1989,2n Cycle,Married,9601.02,1,1,2011-06-22,53,0,537,110,767,173,208,442,3,0,0,0,0,1,0,10,14,0,13,26,4390
